seed	numsteps	FI	F_ODE	F_Direct	F_Lanczos	F_Rotate	F_Prediag_1	F_Prediag_2	T	ν	Ω	ω	δ
4	4	0.0002014565637967758	1.4210854715202004e-14	0.0007049249103051602	0.0007049249103047162	0.0007049249103047162	0.0006910316749316747	0.0007051999567398992	10.0	6.0	0.02	4.4	0.3
5	4	0.0004457089070096787	1.2656542480726785e-13	0.0016521122020218826	0.0016521122020223267	0.0016521122020216605	0.0016418270910987243	0.0016510613248427175	10.0	6.0	0.02	4.4	0.3
6	4	0.0003922687834285732	9.64783808399261e-14	0.0014047580422299477	0.0014047580422301698	0.0014047580422299477	0.0014014418413120788	0.0014052436412402836	10.0	6.0	0.02	4.4	0.3
7	4	0.0003910209346448257	3.3639757646142243e-14	0.0014778240318107372	0.0014778240318107372	0.0014778240318109592	0.0014669877887414362	0.0014780153200973922	10.0	6.0	0.02	4.4	0.3
8	4	0.0003071428568209855	3.7414515929867775e-14	0.0009474689840881512	0.0009474689840877071	0.0009474689840881512	0.0009441203810427456	0.0009454810663562796	10.0	6.0	0.02	4.4	0.3
9	4	0.0005636065787162359	5.562217353372034e-14	0.002039968680274673	0.002039968680274451	0.002039968680274673	0.002037724410793862	0.0020399549363477876	10.0	6.0	0.02	4.4	0.3
0	8	0.00033652848727161455	1.0547118733938987e-14	4.549207986381809e-5	4.5492079864040136e-5	4.5492079864040136e-5	4.542628602932641e-5	4.550144739923212e-5	10.0	6.0	0.02	4.4	0.3
1	8	0.00038941783168799926	7.693845560652335e-14	5.053129548726609e-5	5.053129548726609e-5	5.053129548726609e-5	5.068860604262593e-5	5.055868210823711e-5	10.0	6.0	0.02	4.4	0.3
2	8	0.00043211898319706066	6.705747068735946e-14	5.656536123044287e-5	5.656536122999878e-5	5.656536123022082e-5	5.6482150379899565e-5	5.6524342214370193e-5	10.0	6.0	0.02	4.4	0.3
3	8	3.799898530021384e-5	1.0658141036401503e-14	5.907144529082586e-6	5.907144529304631e-6	5.907144529082586e-6	5.924425606429473e-6	5.938379775694003e-6	10.0	6.0	0.02	4.4	0.3
4	8	0.0002014565637967758	1.4210854715202004e-14	2.508884549079493e-5	2.508884549079493e-5	2.508884549079493e-5	2.525420063737016e-5	2.5095247209172555e-5	10.0	6.0	0.02	4.4	0.3
5	8	0.0004457089070096787	1.2656542480726785e-13	5.758055986493371e-5	5.758055986493371e-5	5.7580559865155756e-5	5.745457342853921e-5	5.752936907277295e-5	10.0	6.0	0.02	4.4	0.3
6	8	0.0003922687834285732	9.64783808399261e-14	5.010715456588155e-5	5.0107154565659506e-5	5.010715456588155e-5	5.028399705053754e-5	5.012948941585105e-5	10.0	6.0	0.02	4.4	0.3
7	8	0.0003910209346448257	3.3639757646142243e-14	5.207252291239417e-5	5.207252291239417e-5	5.207252291239417e-5	5.205829026266873e-5	5.2080242789576126e-5	10.0	6.0	0.02	4.4	0.3
8	8	0.0003071428568209855	3.7414515929867775e-14	3.481597329768604e-5	3.481597329768604e-5	3.481597329768604e-5	3.493695639078531e-5	3.472217360445118e-5	10.0	6.0	0.02	4.4	0.3
9	8	0.0005636065787162359	5.562217353372034e-14	7.206588847152862e-5	7.206588847175066e-5	7.206588847175066e-5	7.210177356808956e-5	7.20659849118288e-5	10.0	6.0	0.02	4.4	0.3
0	16	0.00033652848727161455	1.0547118733938987e-14	2.5401031392702222e-6	2.5401031392702222e-6	2.540103139492267e-6	2.545802106346251e-6	2.5407134912613927e-6	10.0	6.0	0.02	4.4	0.3
1	16	0.00038941783168799926	7.693845560652335e-14	2.8312162800858687e-6	2.8312162803079133e-6	2.8312162803079133e-6	2.854935363560962e-6	2.832982470390988e-6	10.0	6.0	0.02	4.4	0.3
2	16	0.00043211898319706066	6.705747068735946e-14	3.161616437985515e-6	3.1616164377634703e-6	3.1616164377634703e-6	3.1828361860553045e-6	3.1594743602481046e-6	10.0	6.0	0.02	4.4	0.3
3	16	3.799898530021384e-5	1.0658141036401503e-14	3.2675970695894563e-7	3.26759706736901e-7	3.26759706736901e-7	3.404070307855278e-7	3.285872508529408e-7	10.0	6.0	0.02	4.4	0.3
4	16	0.0002014565637967758	1.4210854715202004e-14	1.4078911388937243e-6	1.4078911388937243e-6	1.4078911388937243e-6	1.4500495955083181e-6	1.4085688508913563e-6	10.0	6.0	0.02	4.4	0.3
5	16	0.0004457089070096787	1.2656542480726785e-13	3.221414556997537e-6	3.221414556997537e-6	3.2214145567754926e-6	3.226065295902636e-6	3.218555992501315e-6	10.0	6.0	0.02	4.4	0.3
6	16	0.0003922687834285732	9.64783808399261e-14	2.8108343541610736e-6	2.810834353939029e-6	2.8108343541610736e-6	2.834054514289086e-6	2.812305007315885e-6	10.0	6.0	0.02	4.4	0.3
7	16	0.0003910209346448257	3.3639757646142243e-14	2.910686932366957e-6	2.9106869325890017e-6	2.9106869321449125e-6	2.926281306603329e-6	2.91129094465159e-6	10.0	6.0	0.02	4.4	0.3
8	16	0.0003071428568209855	3.7414515929867775e-14	1.965914882107178e-6	1.9659148825512673e-6	1.965914882107178e-6	1.9825370797255104e-6	1.960726264238488e-6	10.0	6.0	0.02	4.4	0.3
9	16	0.0005636065787162359	5.562217353372034e-14	4.0419377728140304e-6	4.041937772591986e-6	4.041937772591986e-6	4.049559904295563e-6	4.042023426298336e-6	10.0	6.0	0.02	4.4	0.3
0	32	0.00033652848727161455	1.0547118733938987e-14	1.5469749470309324e-7	1.5469749492513785e-7	1.5469749470309324e-7	1.5422095356321108e-7	1.5469835579207114e-7	10.0	6.0	0.02	4.4	0.3
1	32	0.00038941783168799926	7.693845560652335e-14	1.7251219830427544e-7	1.7251219830427544e-7	1.7251219852632005e-7	1.7282267439355792e-7	1.725069034286264e-7	10.0	6.0	0.02	4.4	0.3
2	32	0.00043211898319706066	6.705747068735946e-14	1.9254576066884965e-7	1.9254576066884965e-7	1.9254576066884965e-7	1.915088775339413e-7	1.9254560601478232e-7	10.0	6.0	0.02	4.4	0.3
3	32	3.799898530021384e-5	1.0658141036401503e-14	1.9875543655345496e-8	1.9875543655345496e-8	1.987554343330089e-8	1.9622366176363926e-8	1.9872317458258237e-8	10.0	6.0	0.02	4.4	0.3
4	32	0.0002014565637967758	1.4210854715202004e-14	8.580678922953666e-8	8.580678878544745e-8	8.580678900749206e-8	8.564768338992224e-8	8.57979450819002e-8	10.0	6.0	0.02	4.4	0.3
5	32	0.0004457089070096787	1.2656542480726785e-13	1.9621129410118954e-7	1.9621129410118954e-7	1.9621129432323414e-7	1.9538524287376902e-7	1.9621484603771222e-7	10.0	6.0	0.02	4.4	0.3
6	32	0.0003922687834285732	9.64783808399261e-14	1.712984470936263e-7	1.712984468715817e-7	1.712984468715817e-7	1.7172778765672803e-7	1.7129289964223915e-7	10.0	6.0	0.02	4.4	0.3
7	32	0.0003910209346448257	3.3639757646142243e-14	1.7729004087030376e-7	1.7729004087030376e-7	1.7729004087030376e-7	1.7683332687035147e-7	1.7728858414667314e-7	10.0	6.0	0.02	4.4	0.3
8	32	0.0003071428568209855	3.7414515929867775e-14	1.199361913117869e-7	1.199361913117869e-7	1.199361917558761e-7	1.2022151674173642e-7	1.1993554815958873e-7	10.0	6.0	0.02	4.4	0.3
9	32	0.0005636065787162359	5.562217353372034e-14	2.4629362660455456e-7	2.4629362704864377e-7	2.4629362704864377e-7	2.463053324630593e-7	2.4629224160133134e-7	10.0	6.0	0.02	4.4	0.3
0	64	0.00033652848727161455	1.0547118733938987e-14	9.60730450749736e-9	9.60730450749736e-9	9.60730495158657e-9	9.593915772931894e-9	9.607382223109084e-9	10.0	6.0	0.02	4.4	0.3
1	64	0.00038941783168799926	7.693845560652335e-14	1.0714845788406535e-8	1.0714846232495745e-8	1.0714846232495745e-8	1.0722740140245435e-8	1.071481081638126e-8	10.0	6.0	0.02	4.4	0.3
2	64	0.00043211898319706066	6.705747068735946e-14	1.1957672074736081e-8	1.1957671852691476e-8	1.1957671852691476e-8	1.1928497967161888e-8	1.1957731804734806e-8	10.0	6.0	0.02	4.4	0.3
3	64	3.799898530021384e-5	1.0658141036401503e-14	1.234012780848559e-9	1.234012780848559e-9	1.2340123367593492e-9	1.2268680515958863e-9	1.2340261035248545e-9	10.0	6.0	0.02	4.4	0.3
