seed	numsteps	FI	F_ODE	F_Direct	F_Lanczos	F_Rotate	F_Prediag_1	F_Prediag_2	T	ν	Ω	ω
6	4	0.00048767681174965993	3.552713678800501e-15	0.0017876680196571293	0.0017876680196571293	0.0017876680196575734	0.0017819545406756454	0.0017852702741016913	10.0	6.0	0.02	4.4
7	4	0.000600186213559839	2.7755575615628914e-15	0.0022013745255810013	0.0022013745255805572	0.0022013745255810013	0.0021985157190433924	0.0021986827789546304	10.0	6.0	0.02	4.4
8	4	0.0005410126865358356	4.440892098500626e-16	0.001981062411501533	0.001981062411501311	0.001981062411501533	0.0019655867997236953	0.0019787782203892768	10.0	6.0	0.02	4.4
9	4	0.0005950520990272157	2.4424906541753444e-15	0.0021812078637940546	0.0021812078637940546	0.0021812078637940546	0.0021726522108784785	0.002178811455005869	10.0	6.0	0.02	4.4
0	8	0.000581930523879115	0.0	7.449353283661697e-5	7.449353283639493e-5	7.449353283639493e-5	7.463830474585542e-5	7.443019073871682e-5	10.0	6.0	0.02	4.4
1	8	0.0005173775154737603	4.773959005888173e-15	6.625792827352761e-5	6.625792827352761e-5	6.625792827374966e-5	6.624570565305632e-5	6.619534292018336e-5	10.0	6.0	0.02	4.4
2	8	0.0005735133935329539	2.55351295663786e-15	7.345811622638809e-5	7.345811622638809e-5	7.345811622683218e-5	7.351813784184369e-5	7.3405474322219e-5	10.0	6.0	0.02	4.4
3	8	0.0005822897041862785	3.6637359812630166e-15	7.458166607354766e-5	7.458166607354766e-5	7.458166607354766e-5	7.45622730222717e-5	7.451606663688715e-5	10.0	6.0	0.02	4.4
4	8	0.0005953892122355642	5.551115123125783e-16	7.62894133369274e-5	7.628941333670536e-5	7.628941333670536e-5	7.619535397684896e-5	7.622718339161949e-5	10.0	6.0	0.02	4.4
5	8	0.0006122530474590437	3.9968028886505635e-15	7.842358976128949e-5	7.842358976173358e-5	7.842358976151154e-5	7.84448167380214e-5	7.836290698515214e-5	10.0	6.0	0.02	4.4
6	8	0.00048767681174965993	3.552713678800501e-15	6.247013048676919e-5	6.247013048676919e-5	6.247013048699124e-5	6.239629664195334e-5	6.241023942743507e-5	10.0	6.0	0.02	4.4
7	8	0.000600186213559839	2.7755575615628914e-15	7.68502960778461e-5	7.68502960778461e-5	7.685029607806815e-5	7.692913144818903e-5	7.678490608276078e-5	10.0	6.0	0.02	4.4
8	8	0.0005410126865358356	4.440892098500626e-16	6.935455738876772e-5	6.935455738898977e-5	6.935455738876772e-5	6.916403647216907e-5	6.929957930534858e-5	10.0	6.0	0.02	4.4
9	8	0.0005950520990272157	2.4424906541753444e-15	7.622612619828661e-5	7.622612619828661e-5	7.622612619828661e-5	7.624323224786345e-5	7.616966949486326e-5	10.0	6.0	0.02	4.4
0	16	0.000581930523879115	0.0	4.175789369620375e-6	4.175789369620375e-6	4.17578936984242e-6	4.184715664656835e-6	4.171502757333023e-6	10.0	6.0	0.02	4.4
1	16	0.0005173775154737603	4.773959005888173e-15	3.7148095195504993e-6	3.714809519772544e-6	3.714809519772544e-6	3.711678365214688e-6	3.7107190795637734e-6	10.0	6.0	0.02	4.4
2	16	0.0005735133935329539	2.55351295663786e-15	4.118761679161587e-6	4.118761678939542e-6	4.118761679161587e-6	4.13796272269451e-6	4.115039924368347e-6	10.0	6.0	0.02	4.4
